# {
#     "poni_version": 2.1,
#     "detector": "Pilatus1M",
#     "detector_config": {
#         "orientation": 3
#     },
#     "dist": 0.1,
#     "poni1": 0.1,
#     "poni2": 0.1,
#     "rot1": 0.0,
#     "rot2": 0.0,
#     "rot3": 0.0,
#     "wavelength": 1e-10
# }
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lololo.dat
#       2th_deg             I 
  2.665626e+01    1.050432e-05
  2.676573e+01    7.974901e-05
  2.687520e+01    4.919571e-04
  2.698467e+01    2.502321e-03
  2.709414e+01    1.049810e-02
  2.720362e+01    3.596663e-02
  2.731309e+01    1.020238e-01
  2.742256e+01    2.369260e-01
  2.753203e+01    4.529701e-01
  2.764150e+01    7.127472e-01
  2.775097e+01    9.210308e-01
  2.786044e+01    9.796648e-01
  2.796991e+01    8.569530e-01
  2.807939e+01    6.159420e-01
  2.818886e+01    3.642633e-01
  2.829833e+01    1.772390e-01
  2.840780e+01    7.069775e-02
  2.851727e+01    2.329827e-02
  2.862674e+01    6.265733e-03
  2.873621e+01    1.395645e-03
  2.884568e+01    2.536316e-04
  2.895516e+01    3.804126e-05
  2.906463e+01    4.676704e-06
  2.917410e+01    4.705726e-07
  2.928357e+01    3.922073e-08
  2.939304e+01    2.649687e-09
  2.950251e+01    1.985349e-10
  2.961198e+01    9.505050e-10
  2.972146e+01    1.482678e-08
  2.983093e+01    1.933111e-07
  2.994040e+01    2.044512e-06
  3.004987e+01    1.796871e-05
  3.015934e+01    1.282002e-04
  3.026881e+01    7.598957e-04
  3.037828e+01    3.665731e-03
  3.048775e+01    1.466677e-02
  3.059723e+01    4.789126e-02
  3.070670e+01    1.292362e-01
  3.081617e+01    2.854206e-01
  3.092564e+01    5.197362e-01
  3.103511e+01    7.764401e-01
  3.114458e+01    9.548997e-01
  3.125405e+01    9.649794e-01
  3.136352e+01    8.012107e-01
  3.147300e+01    5.476118e-01
  3.158247e+01    3.069580e-01
  3.169194e+01    1.418719e-01
  3.180141e+01    5.367129e-02
  3.191088e+01    1.675520e-02
  3.202035e+01    4.280336e-03
  3.212982e+01    9.015613e-04
  3.223929e+01    1.556638e-04
  3.234877e+01    2.205749e-05
  3.245824e+01    2.592132e-06
  3.256771e+01    2.464828e-07
  3.267718e+01    2.032877e-08
  3.278665e+01    1.545202e-08
  3.289612e+01    1.848454e-07
  3.300559e+01    1.974089e-06
  3.311506e+01    1.740614e-05
  3.322454e+01    1.249511e-04
  3.333401e+01    7.418316e-04
  3.344348e+01    3.602038e-03
  3.355295e+01    1.442072e-02
  3.366242e+01    4.755448e-02
  3.377189e+01    1.278442e-01
  3.388136e+01    2.840117e-01
  3.399084e+01    5.173495e-01
  3.410031e+01    7.751582e-01
  3.420978e+01    9.546439e-01
  3.431925e+01    9.662617e-01
  3.442872e+01    8.035085e-01
  3.453819e+01    5.503820e-01
  3.464766e+01    3.088588e-01
  3.475713e+01    1.424565e-01
  3.486661e+01    5.412435e-02
  3.497608e+01    1.685010e-02
  3.508555e+01    4.306953e-03
  3.519502e+01    9.083378e-04
  3.530449e+01    1.564549e-04
  3.541396e+01    2.214188e-05
  3.552343e+01    2.588663e-06
  3.563290e+01    2.460474e-07
  3.574238e+01    1.926171e-08
  3.585185e+01    1.245784e-09
  3.596132e+01    6.557321e-11
  3.607079e+01    2.839490e-12
  3.618026e+01    1.005614e-13
  3.628973e+01    2.941055e-15
  3.639920e+01    6.933812e-17
  3.650867e+01    1.359216e-18
  3.661815e+01    2.199431e-20
  3.672762e+01    2.869054e-22
  3.683709e+01    3.106828e-24
  3.694656e+01    2.727746e-26
  3.705603e+01    3.326100e-27
  3.716550e+01    3.861383e-25
  3.727497e+01    3.841258e-23
  3.738445e+01    3.217538e-21
